,0
0,https://hospitality.careers360.com/colleges/guru-gobind-singh-indraprastha-university-delhi
1,https://hospitality.careers360.com/colleges/jamia-millia-islamia-new-delhi
2,https://hospitality.careers360.com/colleges/birla-institute-of-technology-mesra
3,https://hospitality.careers360.com/colleges/lovely-professional-university-phagwara
4,https://hospitality.careers360.com/colleges/banaras-hindu-university-varanasi
5,https://hospitality.careers360.com/colleges/christ-university-bangalore
6,https://hospitality.careers360.com/colleges/chandigarh-university-chandigarh
7,https://hospitality.careers360.com/colleges/aligarh-muslim-university-aligarh
8,https://hospitality.careers360.com/colleges/sathyabama-institute-of-science-and-technology-chennai
9,https://hospitality.careers360.com/colleges/panjab-university-chandigarh
10,https://hospitality.careers360.com/colleges/galgotias-university-greater-noida
11,https://hospitality.careers360.com/colleges/dr-dy-patil-university-navi-mumbai
12,https://hospitality.careers360.com/colleges/maulana-abul-kalam-azad-university-of-technology-kolkata
13,https://hospitality.careers360.com/colleges/kurukshetra-university-kurukshetra
14,https://hospitality.careers360.com/colleges/tezpur-university-tezpur
15,https://hospitality.careers360.com/colleges/koneru-lakshmaiah-education-foundation-guntur
16,https://hospitality.careers360.com/colleges/guru-nanak-dev-university-amritsar
17,https://hospitality.careers360.com/colleges/deenbandhu-chhotu-ram-university-of-science-and-technology-murthal
18,https://hospitality.careers360.com/colleges/techno-india-university-kolkata
19,https://hospitality.careers360.com/colleges/chhatrapati-shahu-ji-maharaj-university-kanpur
20,https://hospitality.careers360.com/colleges/aims-institutes-bangalore
21,https://hospitality.careers360.com/colleges/manipal-academy-of-higher-education-manipal
22,https://hospitality.careers360.com/colleges/rajasthan-technical-university-kota
23,https://hospitality.careers360.com/colleges/hindustan-institute-of-technology-and-science-chennai
24,https://hospitality.careers360.com/colleges/karunya-institute-of-technology-and-sciences-coimbatore
25,https://hospitality.careers360.com/colleges/andhra-university-visakhapatnam
26,https://hospitality.careers360.com/colleges/jaipur-national-university-jaipur
27,https://hospitality.careers360.com/colleges/annamalai-university-annamalai-nagar
28,https://hospitality.careers360.com/colleges/bundelkhand-university-jhansi
29,https://hospitality.careers360.com/colleges/indira-gandhi-national-open-university-new-delhi
30,https://hospitality.careers360.com/colleges/rashtrasant-tukadoji-maharaj-nagpur-university-nagpur
31,https://hospitality.careers360.com/colleges/mgr-educational-and-research-institute-chennai
32,https://hospitality.careers360.com/colleges/babu-banarasi-das-university-lucknow
33,https://hospitality.careers360.com/colleges/techno-india-salt-lake
34,https://hospitality.careers360.com/colleges/chandigarh-group-of-colleges-mohali
35,https://hospitality.careers360.com/colleges/institute-of-hotel-management-ahmedabad
36,https://hospitality.careers360.com/colleges/mahatma-jyotiba-phule-rohilkhand-university-bareilly
37,https://hospitality.careers360.com/colleges/institute-of-hotel-management-catering-and-nutrition-pusa-new-delhi
38,https://hospitality.careers360.com/colleges/jiwaji-university-gwalior
39,https://hospitality.careers360.com/colleges/acharya-nagarjuna-university-guntur
40,https://hospitality.careers360.com/colleges/nims-university-jaipur
41,https://hospitality.careers360.com/colleges/mahatma-gandhi-university-kottayam
42,https://hospitality.careers360.com/colleges/gujarat-technological-university-ahmedabad
43,https://hospitality.careers360.com/colleges/rabindranath-tagore-university-bhopal
44,https://hospitality.careers360.com/colleges/amity-university-jaipur
45,https://hospitality.careers360.com/colleges/iec-university-baddi
46,https://hospitality.careers360.com/colleges/punjabi-university-patiala
47,https://hospitality.careers360.com/colleges/maharshi-dayanand-university-rohtak
48,https://hospitality.careers360.com/colleges/ik-gujral-punjab-technical-university-jalandhar
49,https://hospitality.careers360.com/colleges/dr-bc-roy-engineering-college-durgapur
50,https://hospitality.careers360.com/colleges/ajeenkya-dy-patil-university-pune
51,https://hospitality.careers360.com/colleges/institute-of-hotel-management-catering-technology-and-applied-nutrition-mumbai
52,https://hospitality.careers360.com/colleges/faculty-of-management-studies-manav-rachna-international-institute-of-research-and-studies
53,https://hospitality.careers360.com/colleges/tilak-maharashtra-vidyapeeth-pune
54,https://hospitality.careers360.com/colleges/sardar-patel-university-vallabh-vidyanagar
55,https://hospitality.careers360.com/colleges/nshm-knowledge-campus-kolkata
56,https://hospitality.careers360.com/colleges/university-of-calicut-malappuram
57,https://hospitality.careers360.com/colleges/university-of-jammu-jammu
58,https://hospitality.careers360.com/colleges/college-of-vocational-studies-new-delhi
